movieCd,movieNm,movieNmEn,movieNmOg,prdtYear,openDt,showTm,prdtStatNm,typeNm,nations,genres,directors,actors,companys,audits,staffs
20246665,아마추어,The Amateur,,2025,20250409,122,개봉,장편,미국,액션|스릴러,제임스 하위스,라미 말렉|레이첼 브로스나한|로렌스 피쉬번,월트디즈니컴퍼니코리아 유한책임회사(배급사)|월트디즈니컴퍼니코리아 유한책임회사(수입사),2025-MF00687 (12세이상관람가),
20171024,너의 췌장을 먹고 싶어,Let Me Eat Your Pancreas,君の膵臓をたべたい,2017,20171025,115,개봉,장편,일본,드라마,츠키카와 쇼,키타가와 케이코|오구리 슌|하마베 미나미|키타무라 타쿠미,(주)키노라이츠(배급사)|(주)넥스트엔터테인먼트월드(NEW)(배급사)|(주)미디어캐슬(수입사),2017-MF01535(12세이상관람가),
20253200,베러맨,Better Man,,2024,20250409,135,개봉,장편,영국,뮤지컬|판타지,마이클 그레이시,로비 윌리엄스,씨제이 씨지브이(CJ CGV)(주)(배급사)|찬란(배급사)|씨제이 씨지브이(CJ CGV)(주)(수입사),2025-MF00624 (15세이상관람가),
20081665,택시 드라이버,Taxi Driver,,1976,19890217,113,개봉,장편,미국,드라마|스릴러,마틴 스코세이지,조디 포스터|로버트 드 니로,남아진흥(주)(제작사),89-162(연소자관람불가),버나드 허만(음악)
20252543,드라이브 인 타이페이,WEEKEND IN TAIPEI,,2024,20250411,100,개봉,장편,프랑스,액션,조지 황,루크 에반스|계륜미|성 강,(주)영화특별시에스엠씨(배급사),2025-MF00680 (15세이상관람가),조지 황(시나리오(각본))|뤽 베송(시나리오(각본))
20253537,백설공주와 일곱난쟁이,Snow White and the 7 Dwarfs,,2025,20250410,80,개봉,장편,미국,애니메이션,,,(주)박수엔터테인먼트(배급사)|(주)박수엔터테인먼트(수입사),2025-MF00730 (전체관람가),
20235544,출동! 왕엉덩이 히어로: 털복숭이 꼬리도적단 소탕작전,Combat Wombat,,2020,20250412,84,개봉,장편,호주,애니메이션|액션|어드벤처,리카르드 쿠소,데보라 메일맨|에드 옥슨볼드,(주)팝엔터테인먼트(배급사)|(주)히스토리필름(수입사)|(주)팝엔터테인먼트(제공),2023-MF02653(전체관람가),
20253236,하보우만의 약속,known,,2025,20250416,87,개봉,장편,한국,다큐멘터리,이장호,,하보우만(제작사)|(주)드림팩트엔터테인먼트(배급사),2025-MF00839 (12세이상관람가),명기입(편집)
20253591,드롭,DROP,,2025,20250423,95,개봉,장편,미국,스릴러|미스터리,크리스토퍼 랜던,메간 페이|브랜든 스클레너,유니버설픽쳐스인터내셔널 코리아(유)(배급사)|유니버설픽쳐스인터내셔널 코리아(유)(수입사),2025-MF00511(15세이상관람가),
20249269,마리아,MARIA,,2024,20250416,122,개봉,장편,영국,드라마,파블로 라라인,안젤리나 졸리|피에르프란체스코 파비노|알바 로르와처,판씨네마(주)(배급사)|판씨네마(주)(수입사),2025-MF00671 (15세이상관람가),
20253331,열혈검사,The Prosecutor,,2024,20250416,117,개봉,장편,중국,액션,견자단,견자단|장지림|오진우,(주)디스테이션(배급사)|(주)엔케이컨텐츠(수입사)|주식회사 케이티스튜디오지니(공동제공),2025-MF00369 (15세이상관람가),
20253471,사유리,Sayuri,,2024,20250416,108,개봉,장편,일본,공포(호러),시라이시 코지,미나미데 료카|네기시 토시에|콘도 하나|우라베 후사코|키타로,(주)트리플픽쳐스(배급사)|(주)영화사조아(수입사)|(주)트리플픽쳐스(수입사),2025-MF00527 (15세이상관람가),
20240561,부전시장,,,2025,20250327,99,개봉,장편,한국,드라마,김시우,전무송|고인배|남경읍|서갑숙|조은숙|이용녀|김홍표|서울|김원용|윤예희|김경룡|유준혁,이로이웍스(제작사)|주식회사 블루필름웍스(배급사),2025-MF00442 (15세이상관람가),신연철(프로듀서)|최승호(제작관리)|최석재(조명)|송수덕(사운드)|오수진(음악)|김시우(시나리오(각본))|안세진(촬영)|김완동(동시녹음)|허성호(편집)|정진태(캐스팅)|홍수동(DI팀)|김시우(기획)
20253280,A MINECRAFT MOVIE 마인크래프트 무비,A MINECRAFT MOVIE,,2025,20250426,100,개봉,장편,미국,어드벤처|판타지,자레드 헤스,제이슨 모모아|잭 블랙,워너브러더스 코리아(주)(배급사)|워너브러더스 코리아(주)(수입사),2025-MF00731 (12세이상관람가),정성은(대사)|박원빈(대사)
20253797,극장판 프로젝트 세카이 부서진 세카이와 전해지지 않는 미쿠의 노래,COLORFUL STAGE! The Movie: A Miku Who Can't Sing,,2024,20250529,105,개봉,장편,일본,애니메이션,,,(주)애니플러스(배급사)|(주)애니플러스(수입사),2025-MF00709(전체관람가),
